doc_id,source,sentence,has_smell,smell_codes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,주관기관의 요구사항을 만족하는 목표시스템 서비스(As-Is와 To-Be 비교 포함) 개념도를 제시하여야 한다.,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"DB 구축내용, 원시자료의 특성을 반영한 세부구축 방법, 기축DB와의 연계방안, 품질수준 확보방안 등을 상세히 제시해야 한다.",1,"S3, S5, S8, S18",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"데이터베이스 상세 구축범위, 구축 세부내용 등을 명확하게 제시하여야한다.",1,"S5, S8, S18",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"원시자료의 특성을 반영한 세부 DB구축방안, DB구축 상세공정도, 구축대상 과업유형별(텍스트, 이미지 등) 필요한 작업요소(XML구축, 메타데이터 구축, 목차생성, 아날로그 매체의 디지털 변환, 녹취/촬영 등 여부), 특수작업 요소에 대해서는 작업 및 공정내용, 작업결과물 용도를 제시하고 해당공정 필요사유를 제시하여야 한다.",1,"S3, S5, S6, S18",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,본 사업으로 구축될 DB와 기 구축된 DB간의 통합 및 연계 방안을 제시하여야 한다.,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"본 사업으로 구축될 데이터베이스 품질수준 목표를 제시하고, 이를 위한 단계별 품질수준 확보방안을 구체적으로 제시하여야 한다.",1,"S3, S18",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"또한 품질순도율(오류율, %) 산정방법을 구체적으로 제시하여야 한다.",1,"S3, S5, S18",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,새로 구축할 DB와 기존 시스템간의 통합검색 및 상세검색 연계방안을 명확히 제시하여야 한다.,1,"S3, S18",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"상기 제시되지 않은 데이터베이스 설계 및 구축방안 관련 제안사항 제시 업무개발에 적용할 방법론 및 기법의 활용방안을 제시하여야 한다. - 대상업무별 개발방안, Prototype 구현 등 개발에 대한 전반적인 방안을 제시하여야 한다. - 제안요청서에 근거하여 대국민 서비스가 필요한 경우, Open API 개발 범위와 내용, 세부 개발방안 등을 제시하여야 한다.",1,"S1, S3, S7, S8, S13",1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,시스템 통합 구축시의 각 구성요소별로 차질없는 업무수행을 위해 시스템 통합절차 및 방안을 제시하여야 한다.,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,분리발주SW에 대하여 통합사업자와 SW 제공자 간의 협력방안을 제시하여야 한다.,1,"S5, S18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"시스템을 소프트웨어 부문, 기타부문 등으로 구분하여 각 구분별 구성장치의 기능을 제시하여야 한다.",1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,시스템 구축시의 각 구성요소별로 차질 없는 업무수행을 위해 시스템 납품 및 설치 절차 및 방안을 제시하여야 한다.,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,시스템 구축 시 자료 유출 방지에 대한 절차 및 방안을 제시하여야 한다.,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,시스템 보안성 확보방안과 개인정보보호 대책을 제시하여야 함 개발완료 후 시스템의 이용 및 관리운용에 관한 전반적인 방안을 제시하여야 한다.,1,"S1, S3, S6, S18",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"개발업무의 품질보증을 위한 조직, 방법, 절차, 내용 등을 제시하여야 한다.",1,"S5, S8, S18",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,사업 추진예정 일정을 참조하여 추진일정을 상세히 제시하여야 한다.,1,"S3, S5, S18",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가보훈처]2013년도_독립운동사료_DB구축사업(개발+DB구축사업 사례),HWP 요구사항후보,"사용자, 관리자 등 시스템의 이용대상자별로 구분하여 교육내용, 교육기간, 인원 등을 상세히 제시하여야 한다.",1,"S3, S8, S18",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
