doc_id,sentence
[조달청]홈페이지_4.성능요약,[PER-002] 평균 처리시간 및 동시처리
[조달청]홈페이지_4.성능요약,[PER-003] 오류 응답 시간 및 지연 경고
[조달청]홈페이지_4.성능요약,[PER-004] 문서 조회-로딩-첨부저장 시간
[조달청]홈페이지_4.성능요약,[PER-005] 메인페이지 Display 시간
[조달청]홈페이지_4.성능요약,[PER-006] 시스템 자원 사용
[조달청]홈페이지_5.인터페이스요약,[SIR-001] 녹색관련 물품정보
[조달청]홈페이지_5.인터페이스요약,[SIR-002] 녹색관련 계약정보
[조달청]홈페이지_5.인터페이스요약,[SIR-003] 계약법규질의사례
[조달청]홈페이지_5.인터페이스요약,[SIR-004] 조달업무질의사례
[조달청]홈페이지_5.인터페이스요약,[SIR-005] 조달신문고 > 진정/건의
[조달청]홈페이지_5.인터페이스요약,[SIR-006] 조달신문고 > 불친절신고
[조달청]홈페이지_5.인터페이스요약,[SIR-007] 조달신문고 > 예산낭비신고
[조달청]홈페이지_5.인터페이스요약,[SIR-008] 조달신문고 > 부조리신고
[조달청]홈페이지_5.인터페이스요약,[SIR-009] 국민제안 > 예산절감
[조달청]홈페이지_5.인터페이스요약,[SIR-010] 국민제안 > 제도개선
[조달청]홈페이지_5.인터페이스요약,[SIR-011] 국민제안 > 규제개혁
[조달청]홈페이지_5.인터페이스요약,[SIR-012] 정책토론 > 전자공청회
[조달청]홈페이지_5.인터페이스요약,[SIR-013] 정책토론 > 정책포럼
[조달청]홈페이지_5.인터페이스요약,[SIR-014] 정책토론 > 설문조사
[조달청]홈페이지_5.인터페이스요약,[SIR-015] 110 정부민원안내 콜센터
[조달청]홈페이지_5.인터페이스요약,[SIR-016] Facebook
[조달청]홈페이지_5.인터페이스요약,[SIR-017] Twitter
[조달청]홈페이지_5.인터페이스요약,[SIR-019] 공공 I-PIN
[조달청]홈페이지_5.인터페이스요약,"[SIR-020] 대기전력저감우수제품, 에너지효율 1등급제품, 고효율에너지기자재"
[조달청]홈페이지_5.인터페이스요약,[SIR-021] 신·재생에너지설비인증
[조달청]홈페이지_5.인터페이스요약,[SIR-023] 우수재활용제품(GR)
[조달청]홈페이지_5.인터페이스요약,"[SIR-024] 녹색인증(기술, 사업, 전문기업)"
[조달청]홈페이지_5.인터페이스요약,[SIR-025] 구간암호화 SSL 연동
[조달청]홈페이지_5.인터페이스요약,[SIR-026] 개인정보보호 솔루션 연동
[조달청]홈페이지_5.인터페이스요약,[SIR-027] 웹 에디터 솔루션 연동
[조달청]홈페이지_5.인터페이스요약,[SIR-028] GUI 표준화
[조달청]홈페이지_5.인터페이스요약,[SIR-029] 스타일 시트 사용
[조달청]홈페이지_5.인터페이스요약,[SIR-030] 사이트 구성 및 디자인 설계
[조달청]홈페이지_5.인터페이스요약,[SIR-031] 디자인 시안 제작 및 의견 수렴
[조달청]홈페이지_5.인터페이스요약,[SIR-032] 메뉴체계 구성
